u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
12,15,1,0.000000,-0.000000,0.000000,0.988225,10.134326,9.518069,0.302311,1.625840,-0.586317
13,14,1,0.000000,-0.000000,0.000000,1.039676,9.159123,9.189786,0.005294,1.250770,-0.845931
12,16,1,0.000000,-0.000000,0.000000,1.070570,12.000098,11.863776,0.105936,1.119489,-1.416804
11,15,1,0.000000,-0.000000,0.000000,1.103255,9.557847,9.370279,0.150742,1.542262,-0.251168
10,13,1,0.000000,-0.000000,0.000000,1.017607,8.682125,8.979629,-0.139794,1.163007,-0.420777
16,40,1,0.000000,-0.000000,0.000000,0.966940,13.439501,13.093436,0.157049,2.050895,-1.420349
18,21,1,0.000000,-0.000000,0.000000,1.058199,9.495280,9.523678,0.016594,1.114368,-0.579683
31,47,1,0.000000,-0.000000,0.000000,0.974207,13.593101,13.114542,0.226716,1.576217,-1.368089
3,4,1,0.000000,-0.000000,0.000000,1.042361,9.482333,9.525247,0.000621,1.411855,-0.694971
5,8,1,0.000000,-0.000000,0.000000,1.021580,9.649272,9.869502,-0.099092,1.188331,-0.780684
4,7,1,0.000000,-0.000000,0.000000,1.058048,9.842626,9.927020,-0.011488,1.366471,-0.246865
2,13,1,0.000000,-0.000000,0.000000,0.958828,10.273511,10.237572,-0.001769,1.731679,-0.537487
2,11,1,0.000000,-0.000000,0.000000,1.018490,10.589525,10.783095,-0.087369,1.301349,-0.799398
9,14,1,0.000000,-0.000000,0.000000,1.018303,9.446600,9.338525,0.063356,1.233714,-0.977144
9,10,1,0.000000,-0.000000,0.000000,1.049479,8.814450,9.153325,-0.143474,1.074605,-0.426239
6,9,1,0.000000,-0.000000,0.000000,0.989664,9.087694,9.144341,-0.033438,1.389428,-0.326480
23,61,2,1.000000,0.000000,-0.000000,2.004528,26.638957,26.314983,1.168789,3.462025,2.829152
16,60,2,1.000000,0.000000,-0.000000,2.030461,11.290492,11.282032,1.050386,1.516531,1.007925
11,14,2,1.000000,0.000000,-0.000000,1.961197,9.601379,9.698420,0.894028,1.173260,0.623860
31,32,23,253.000000,1771.000000,8855.000000,23.034401,17.332281,17.307971,253.786779,1778.744466,8895.379459
