u,v,true_S,trial,S_prime,var_hat
52,144,1,0,-71.155056,7155.831596
52,144,1,1,-73.657436,7448.698926
52,144,1,2,-149.609681,7524.406128
52,144,1,3,-16.330285,7528.390717
52,144,1,4,-28.905122,7311.230587
52,144,1,5,123.885082,7402.876147
52,144,1,6,-52.248138,7414.829915
52,144,1,7,49.316760,7394.906968
52,144,1,8,-168.020899,7464.637285
52,144,1,9,75.869224,7508.467769
52,144,1,10,-48.434799,7460.652695
52,144,1,11,-110.479872,7329.161240
52,144,1,12,99.726807,7367.014841
52,144,1,13,-121.708522,7502.490885
52,144,1,14,75.443981,7412.837621
52,144,1,15,90.396647,7418.814505
52,144,1,16,15.438308,7367.014841
52,144,1,17,69.501916,7414.829915
52,144,1,18,-61.683983,7311.230587
52,144,1,19,110.635898,7253.454039
52,144,1,20,-118.816127,7253.454039
52,144,1,21,-8.134943,7396.899262
52,144,1,22,56.607519,7257.438629
52,144,1,23,-13.242881,7301.269114
52,144,1,24,-113.938424,7275.369282
52,144,1,25,-49.179602,7424.791389
52,144,1,26,-55.457587,7197.669786
52,144,1,27,-13.757449,7339.122714
52,144,1,28,-29.438557,7586.167265
52,144,1,29,-222.899766,7277.361576
52,144,1,30,55.134273,7474.598758
52,144,1,31,60.632227,7614.059392
52,144,1,32,-94.392388,7414.829915
52,144,1,33,62.140701,7448.698926
52,144,1,34,-44.797600,7247.477155
52,144,1,35,-145.227679,7347.091893
52,144,1,36,4.529218,7480.575643
52,144,1,37,148.468601,7534.367601
52,144,1,38,66.113820,7464.637285
52,144,1,39,73.794594,7370.999431
52,144,1,40,-50.084185,7418.814505
52,144,1,41,21.380373,7365.022546
52,144,1,42,238.558252,7325.176651
52,144,1,43,-194.608592,7299.276819
52,144,1,44,4.829910,7657.889877
52,144,1,45,99.548160,7633.982340
52,144,1,46,47.277358,7309.238293
52,144,1,47,84.879826,7516.436949
52,144,1,48,-64.592740,7271.384692
52,144,1,49,-39.743757,7528.390717
52,144,1,50,-55.866470,7390.922378
52,144,1,51,161.062306,7514.444654
52,144,1,52,58.982841,7572.221202
52,144,1,53,-13.456756,7516.436949
52,144,1,54,-153.298469,7396.899262
52,144,1,55,-7.035352,7424.791389
52,144,1,56,-111.473779,7456.668105
52,144,1,57,-89.939929,7341.115009
52,144,1,58,-10.653684,7400.883852
52,144,1,59,-72.503750,7291.307640
52,144,1,60,-48.984594,7446.706632
52,144,1,61,-35.131519,7424.791389
52,144,1,62,20.955130,7269.392397
52,144,1,63,144.425026,7414.829915
52,144,1,64,12.635236,7482.567937
52,144,1,65,80.836250,7396.899262
52,144,1,66,-94.037600,7406.860736
52,144,1,67,132.576124,7470.614169
52,144,1,68,37.627638,7420.806800
52,144,1,69,-24.062648,7281.346166
52,144,1,70,62.495488,7440.729747
52,144,1,71,73.740499,7556.282844
52,144,1,72,130.872643,7614.059392
52,144,1,73,108.932416,7396.899262
52,144,1,74,54.763125,7193.685196
52,144,1,75,-96.450657,7566.244318
52,144,1,76,73.190704,7542.336780
52,144,1,77,88.392473,7384.945494
52,144,1,78,42.310332,7420.806800
52,144,1,79,-71.368931,7370.999431
52,144,1,80,-145.352230,7428.775979
52,144,1,81,8.591661,7363.030251
52,144,1,82,7.172510,7394.906968
52,144,1,83,-108.475699,7363.030251
52,144,1,84,-74.331783,7516.436949
