u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
6,11,1,0.000000,-0.000000,0.000000,0.965316,8.025734,8.032861,-0.020304,1.281383,-0.515644
26,27,1,0.000000,-0.000000,0.000000,1.107795,8.316040,8.217016,0.109219,0.826781,-0.598995
10,11,1,0.000000,-0.000000,0.000000,1.023764,7.639416,7.834066,-0.085161,1.002932,-0.478677
9,11,1,0.000000,-0.000000,0.000000,0.943862,8.032935,8.012611,-0.016332,1.177660,0.122322
8,10,1,0.000000,-0.000000,0.000000,0.923992,8.222371,7.992123,0.080009,1.122446,-0.769374
8,9,1,0.000000,-0.000000,0.000000,0.979919,8.211214,8.180270,0.005633,1.185174,-0.738853
7,11,1,0.000000,-0.000000,0.000000,1.015758,9.107747,8.935188,0.094283,1.202505,-0.519630
7,10,1,0.000000,-0.000000,0.000000,1.068661,8.894321,8.943792,0.011952,0.979139,-0.771146
7,8,1,0.000000,-0.000000,0.000000,0.967403,9.193796,9.095194,0.033534,1.329801,-0.694459
3,4,1,0.000000,-0.000000,0.000000,1.063398,8.570813,8.310234,0.163998,1.039635,-0.539049
6,10,1,0.000000,-0.000000,0.000000,0.991678,7.831651,7.974060,-0.075331,1.202183,-0.400503
6,9,1,0.000000,-0.000000,0.000000,1.056464,8.371198,8.227331,0.101759,1.266398,-0.466963
6,7,1,0.000000,-0.000000,0.000000,1.005597,9.258717,9.086115,0.089115,1.215179,-0.258598
5,11,1,0.000000,-0.000000,0.000000,0.993775,8.164997,8.000347,0.079232,1.133682,-0.864497
5,10,1,0.000000,-0.000000,0.000000,0.981674,7.813173,7.999586,-0.102201,1.089347,-0.644501
5,9,1,0.000000,-0.000000,0.000000,0.954161,8.061996,8.190918,-0.086330,1.199026,-0.845106
5,7,1,0.000000,-0.000000,0.000000,0.965102,9.185821,9.126568,0.012786,1.250743,-0.391298
5,6,1,0.000000,-0.000000,0.000000,1.002052,8.311183,8.210503,0.051368,1.237517,-0.259675
7,30,2,1.000000,0.000000,-0.000000,2.110173,9.540211,9.280157,1.301357,1.596441,1.424046
4,31,5,10.000000,10.000000,5.000000,4.995735,9.368100,9.469777,9.929979,10.427903,6.814935
