u,v,true_S,trial,S_prime,var_hat
99,112,1,0,51.743094,9449.237450
99,112,1,1,-2.352271,9417.245620
99,112,1,2,54.970527,9017.347747
99,112,1,3,-46.070746,9401.249705
99,112,1,4,69.947121,9657.184344
99,112,1,5,-51.686969,9161.310981
99,112,1,6,-130.780067,9913.118983
99,112,1,7,-95.566408,9993.098557
99,112,1,8,-222.477881,9129.319151
99,112,1,9,-10.518248,9353.261960
99,112,1,10,126.931079,9385.253790
99,112,1,11,196.164002,9209.298726
99,112,1,12,-69.374280,9545.212939
99,112,1,13,157.722911,9561.208854
99,112,1,14,78.790777,9465.233365
99,112,1,15,-137.929524,9465.233365
99,112,1,16,95.122729,9593.200684
99,112,1,17,-82.639764,9833.139408
99,112,1,18,-100.843791,9625.192514
99,112,1,19,-44.198672,9481.229280
99,112,1,20,52.937489,9785.151663
99,112,1,21,82.534925,9625.192514
99,112,1,22,-74.651663,9177.306896
99,112,1,23,-163.105132,9529.217024
99,112,1,24,100.561076,9113.323236
99,112,1,25,28.100720,9721.168004
99,112,1,26,60.764625,9977.102643
99,112,1,27,139.518884,9353.261960
99,112,1,28,68.413886,9449.237450
99,112,1,29,119.103943,9193.302811
99,112,1,30,25.550967,9897.123068
99,112,1,31,29.972794,9801.147578
99,112,1,32,17.384990,9833.139408
99,112,1,33,-23.444891,9513.221110
99,112,1,34,-10.857087,9481.229280
99,112,1,35,75.902183,9769.155748
99,112,1,36,-168.882319,10137.061792
99,112,1,37,172.182789,9609.196599
99,112,1,38,44.432673,9849.135323
99,112,1,39,-65.630132,9705.172089
99,112,1,40,-5.757580,9129.319151
99,112,1,41,74.707788,9433.241535
99,112,1,42,135.435895,9321.270130
99,112,1,43,-129.424708,9401.249705
99,112,1,44,146.151625,9209.298726
99,112,1,45,-57.464156,9769.155748
99,112,1,46,83.890284,9113.323236
99,112,1,47,95.800409,9337.266045
99,112,1,48,-65.113416,10297.020941
99,112,1,49,88.828827,9609.196599
99,112,1,50,-67.502206,9625.192514
99,112,1,51,1.391877,9577.204769
99,112,1,52,87.295593,9401.249705
99,112,1,53,58.375836,9305.274215
99,112,1,54,51.404254,9577.204769
99,112,1,55,-146.095500,9401.249705
99,112,1,56,-0.996912,8905.376342
99,112,1,57,-63.935933,9065.335491
99,112,1,58,69.091566,9193.302811
99,112,1,59,95.639445,10185.049537
99,112,1,60,-21.233978,9465.233365
99,112,1,61,-68.696601,9289.278300
99,112,1,62,-170.076714,9801.147578
99,112,1,63,-53.042328,9673.180259
99,112,1,64,-96.760803,9657.184344
99,112,1,65,-33.482942,9369.257875
99,112,1,66,105.838459,9481.229280
99,112,1,67,-35.515980,10137.061792
99,112,1,68,-95.744284,9273.282386
99,112,1,69,153.639922,9529.217024
99,112,1,70,-8.985013,9561.208854
99,112,1,71,20.612423,9401.249705
99,112,1,72,55.148403,9737.163919
99,112,1,73,102.949866,9785.151663
99,112,1,74,-91.144580,9897.123068
99,112,1,75,117.748584,9705.172089
99,112,1,76,74.368949,9561.208854
99,112,1,77,-19.700743,9673.180259
99,112,1,78,-164.638367,9321.270130
99,112,1,79,169.294196,9913.118983
99,112,1,80,16.529435,9369.257875
99,112,1,81,111.793522,9593.200684
99,112,1,82,-31.610868,9449.237450
99,112,1,83,137.646809,9273.282386
99,112,1,84,-9.501728,8969.360002
99,112,1,85,-45.215191,9865.131238
99,112,1,86,-81.284405,9321.270130
99,112,1,87,-79.073491,9273.282386
99,112,1,88,-75.329343,9433.241535
99,112,1,89,-105.104655,8873.384512
99,112,1,90,-131.635622,9449.237450
99,112,1,91,35.927857,9913.118983
99,112,1,92,33.200227,9369.257875
99,112,1,93,134.080537,9833.139408
99,112,1,94,-57.802995,9897.123068
99,112,1,95,110.599127,9257.286471
99,112,1,96,-133.846536,9497.225195
99,112,1,97,24.517536,8713.425363
99,112,1,98,-25.316966,9433.241535
99,112,1,99,67.219491,9113.323236
99,112,1,100,-27.189040,9353.261960
99,112,1,101,-68.018922,9033.343662
99,112,1,102,-21.911657,9721.168004
99,112,1,103,57.020477,9817.143493
99,112,1,104,110.260287,9385.253790
99,112,1,105,56.164922,9353.261960
99,112,1,106,-16.812150,9369.257875
99,112,1,107,-17.150989,9497.225195
99,112,1,108,-46.926301,8937.368172
99,112,1,109,116.893029,9241.290556
99,112,1,110,102.094311,9321.270130
99,112,1,111,10.235533,9385.253790
99,112,1,112,-155.794711,9129.319151
99,112,1,113,-69.374280,9545.212939
99,112,1,114,-56.786476,9513.221110
99,112,1,115,-61.386180,8889.380427
99,112,1,116,-31.272028,9321.270130
99,112,1,117,-19.361903,9545.212939
99,112,1,118,136.969130,9529.217024
99,112,1,119,-175.692937,9561.208854
99,112,1,120,-104.587939,9465.233365
99,112,1,121,177.282296,9257.286471
99,112,1,122,9.557854,9641.188429
99,112,1,123,228.489068,9593.200684
99,112,1,124,-18.345384,9161.310981
99,112,1,125,-138.607203,9721.168004
99,112,1,126,-60.191785,9225.294641
99,112,1,127,164.355652,9417.245620
99,112,1,128,30.989313,9417.245620
99,112,1,129,-28.544399,9865.131238
99,112,1,130,88.828827,9609.196599
99,112,1,131,-83.834159,9497.225195
99,112,1,132,-116.836904,9369.257875
99,112,1,133,-52.703488,9545.212939
99,112,1,134,-87.239468,9209.298726
99,112,1,135,-102.715865,9545.212939
99,112,1,136,111.115842,9849.135323
99,112,1,137,17.046150,9961.106728
99,112,1,138,-24.639286,9177.306896
99,112,1,139,-137.073969,9929.114898
99,112,1,140,64.330898,9417.245620
99,112,1,141,127.447795,9977.102643
99,112,1,142,-85.706233,9417.245620
99,112,1,143,-73.118429,9385.253790
99,112,1,144,30.133758,8953.364087
99,112,1,145,47.143390,8825.396767
99,112,1,146,45.788032,9337.266045
99,112,1,147,-38.243610,9593.200684
99,112,1,148,36.266696,9785.151663
99,112,1,149,30.989313,9417.245620
99,112,1,150,35.749981,9193.302811
99,112,1,151,-103.910260,9209.298726
99,112,1,152,122.848091,9353.261960
99,112,1,153,-38.243610,9593.200684
99,112,1,154,-113.092755,9529.217024
99,112,1,155,8.702298,9177.306896
99,112,1,156,-202.740619,9545.212939
99,112,1,157,148.362539,9161.310981
99,112,1,158,-120.581052,9209.298726
99,112,1,159,171.666073,9017.347747
99,112,1,160,-76.523738,9097.327321
99,112,1,161,-76.862577,9225.294641
99,112,1,162,14.657361,9289.278300
99,112,1,163,106.854978,9097.327321
99,112,1,164,17.207114,9113.323236
99,112,1,165,-29.061114,9273.282386
99,112,1,166,-124.147325,9769.155748
99,112,1,167,-60.191785,9225.294641
99,112,1,168,-41.987758,9433.241535
99,112,1,169,8.541334,10025.090387
99,112,1,170,-213.456349,9657.184344
99,112,1,171,88.151148,9865.131238
99,112,1,172,-70.907515,9337.266045
99,112,1,173,111.115842,9849.135323
99,112,1,174,-53.897883,9209.298726
99,112,1,175,-60.191785,9225.294641
99,112,1,176,22.145658,9609.196599
99,112,1,177,107.371694,9689.176174
99,112,1,178,-102.377025,9417.245620
99,112,1,179,72.158035,9609.196599
99,112,1,180,77.935221,9001.351832
99,112,1,181,58.714675,9177.306896
99,112,1,182,17.207114,9113.323236
99,112,1,183,-173.820862,9641.188429
99,112,1,184,-1.674592,9161.310981
99,112,1,185,14.157557,10265.029111
99,112,1,186,-29.061114,9273.282386
99,112,1,187,36.605536,9657.184344
99,112,1,188,-235.743364,9417.245620
99,112,1,189,3.263951,9657.184344
99,112,1,190,48.854501,9753.159834
99,112,1,191,8.024619,9433.241535
99,112,1,192,64.330898,9417.245620
99,112,1,193,105.321744,8889.380427
99,112,1,194,-31.949707,9577.204769
99,112,1,195,-162.427453,9273.282386
99,112,1,196,-95.744284,9273.282386
99,112,1,197,-119.047818,9417.245620
99,112,1,198,-35.693856,9417.245620
99,112,1,199,-177.565011,9481.229280
99,112,1,200,-44.198672,9481.229280
99,112,1,201,-106.460014,9385.253790
