u,v,true_S,true_C2,true_C3,true_C4,mean_S_prime,emp_var_S_prime,mean_var_hat,mean_C2_hat,mean_C3_hat,mean_C4_hat
99,112,1,0.000000,-0.000000,0.000000,1.022362,524.944556,532.949960,-3.991271,-22.414346,815.201529
92,198,1,0.000000,-0.000000,0.000000,0.832055,530.724582,528.115856,1.234493,13.091236,1092.185262
109,218,1,0.000000,-0.000000,0.000000,1.217443,530.025849,529.709293,0.290641,141.076976,814.621732
70,88,1,0.000000,-0.000000,0.000000,1.255452,524.846589,534.803591,-4.818147,150.145030,-724.587244
79,235,1,0.000000,-0.000000,0.000000,1.652073,523.371358,529.555089,-2.553230,182.408199,406.280977
147,188,1,0.000000,-0.000000,0.000000,1.125566,528.279000,529.038288,-0.308977,138.795669,-218.880031
183,215,1,0.000000,-0.000000,0.000000,0.986095,525.050782,527.926986,-1.444958,72.164266,-805.473239
127,224,1,0.000000,-0.000000,0.000000,1.130808,527.886339,537.645400,-4.805571,-37.309612,-597.490052
194,233,1,0.000000,-0.000000,0.000000,0.635018,550.444495,541.776622,4.218051,-64.737906,480.160171
20,209,1,0.000000,-0.000000,0.000000,1.476939,531.478270,523.039090,4.571795,195.127031,-81.872644
29,113,1,0.000000,-0.000000,0.000000,1.467272,546.943029,540.974126,3.327259,87.281083,1093.819090
8,87,1,0.000000,-0.000000,0.000000,1.172413,531.156120,542.043590,-5.342665,-11.394627,1006.449856
4,224,1,0.000000,-0.000000,0.000000,0.648785,527.385910,538.290903,-5.566428,45.910765,-1258.704283
13,126,1,0.000000,-0.000000,0.000000,0.897158,516.670661,527.395043,-5.408324,117.724096,-255.335326
51,147,1,0.000000,-0.000000,0.000000,1.535830,525.174326,528.490008,-1.246369,143.036079,377.376131
62,65,1,0.000000,-0.000000,0.000000,0.959675,538.291786,526.842779,5.705154,59.551360,570.159354
31,235,1,0.000000,-0.000000,0.000000,1.583665,513.995863,523.034707,-4.057256,-58.800772,299.428790
48,88,1,0.000000,-0.000000,0.000000,1.090983,563.212736,551.808623,5.751687,260.271996,266.054851
14,178,2,1.000000,0.000000,-0.000000,2.104711,551.091421,542.322909,5.546805,109.110655,-406.126070
106,158,10,45.000000,120.000000,210.000000,10.036984,601.626043,611.342774,40.493664,104.458315,-238.133203
